SMILE
COCCc1ccc(cc1)OC([C@H](CNC(C)C)O)(F)F
CN(S(=O)(=O)c1ccccc1)c1cccc(c1)OCCNc1ccncc1
c1ccc(cc1)OCCNc1ccncc1
Cc1cccc(c1)OCCNc1ccncc1
Clc1ccc(cc1)S(=O)(=O)NCCc1cccc(c1)OCc1ccc(cc1)C(=N)N
O=C(N[C@H](C(=O)N1CCCCC1)CCNc1ccncc1)CNS(=O)(=O)c1ccc2c(c1)cccc2
OCCNc1ccncc1
Nc1ccncc1
O=C(N[C@@H](C(=O)N1CCCCC1)CCNc1ccncc1)CNS(=O)(=O)c1ccc(cc1)Cl
O=C(N[C@@H](C(=O)N1CCCCC1)CCNc1ccncc1)CNS(=O)(=O)c1ccc2c(c1)cccc2
O=C(N[C@@H](C(=O)N1CCCCC1)Cc1ccc(cc1)C(=N)N)CNS(=O)(=O)c1ccc2c(c1)cccc2
NC(=N)c1ccccc1
O=C(N[C@@H](C(=O)N1CCCCC1)CCNc1ccncc1)CNS(=O)(=O)c1ccccc1
O=S(=O)(c1ccc2c(c1)cccc2)Nc1cccc(c1)OCCNc1ccncc1
Clc1ccc(cc1)S(=O)(=O)NCCc1cccc(c1)OCCNc1ccncc1
O=C(N[C@@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)NCc1ccccc1)NC(=O)Cc1ccccc1)C(=O)NCc1ccccc1)Cc1ccccc1
CCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)OC)NC(=O)Cc1ccccc1
COC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)OC)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
COC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)OC)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
O=C([C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)N)NC(=O)Cc1ccccc1)NCCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)N)NC(=O)Cc1ccccc1
O=C([C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)Cc1ccccc1)NCCNC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)Cc1ccccc1
CCNC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)NCC)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
COC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NNC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)OC)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
COC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCNC(=O)[C@@H]1N2C(=O)C([C@H]2SC1(C)C)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
CCNC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)OCCOC(=O)[C@@H]1N[C@H](SC1(C)C)[C@@H](C(=O)NCC)NC(=O)Cc1ccccc1)NC(=O)Cc1ccccc1
COC(=O)[C@H]([C@@H]1N[C@H](C(S1)(C)C)C(=O)NCCNC(=O)C)NC(=O)Cc1ccccc1
OC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C)CCCNC(=N)N
OC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)C)CO)Cc1ccccc1)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)C)Cc1ccccc1)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)C)Cc1ccccc1)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)C)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)C)CO)Cc1ccccc1)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C)CCCNC(=N)N
OC[C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)C)CO)Cc1ccccc1)CCCNC(=N)N
OC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCNC(=N)N)Cc1ccccc1)NC(=O)C
OC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)C)CCCNC(=N)N
Clc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)OCCNc1ccncc1
O=S(=O)(c1ccccc1)Nc1cccc(c1)OCCNc1ccncc1
